title,summary,link,authors,published_day,category,site,PMID,similarity,parent_title,similarity_query,query_similarity,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,title_similarity_1,title_similarity_2,title_similarity_3,title_similarity_4,title_similarity_5,year_normalized
Tests of Machine Intelligence,"Although the definition and measurement of intelligence is clearly of
fundamental importance to the field of artificial intelligence, no general
survey of definitions and tests of machine intelligence exists. Indeed few
researchers are even aware of alternatives to the Turing test and its many
derivatives. In this paper we fill this gap by providing a short survey of the
many tests of machine intelligence that have been proposed.",http://arxiv.org/pdf/0712.3825v1,"Shane Legg, Marcus Hutter",2007,cs,arxiv,,0.7028402,The case for psychometric artificial general intelligence,0.5282888,0.7170227,0.6533817052841187,0.5039939880371094,0.4537563920021057,0.4537563920021057,0.44378888607025146,"Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation",The Governance of Physical Artificial Intelligence,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",Tests of Machine Intelligence,0.0
"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","This is the Proceedings of the Thirteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Providence, RI, August 1-3, 1997",http://arxiv.org/pdf/1304.3846v1,"Dan Geiger, Prakash Shenoy",2013,cs,arxiv,,0.48768488,,0.48768488,0.5215483,1.0000001192092896,0.921705961227417,0.921705961227417,0.8872004747390747,0.4697742462158203,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",Tests of Machine Intelligence,0.35294117647058826
"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","This is the Proceedings of the Second Conference on Uncertainty in Artificial
Intelligence, which was held in Philadelphia, PA, August 8-10, 1986",http://arxiv.org/pdf/1304.3859v1,"Laveen Kanal, John Lemmer",2013,cs,arxiv,,0.92170596,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",0.48153546,0.49194387,0.5050216913223267,0.45349472761154175,0.4179130792617798,0.390455961227417,0.3764542043209076,The Governance of Physical Artificial Intelligence,"Putting AI Ethics into Practice: The Hourglass Model of Organizational
  AI Governance",How to Design AI for Social Good: Seven Essential Factors.,Tests of Machine Intelligence,The case for psychometric artificial general intelligence,0.35294117647058826
"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)","This is the Proceedings of the Ninth Conference on Uncertainty in Artificial
Intelligence, which was held in Washington, DC, July 9-11, 1993",http://arxiv.org/pdf/1304.3851v1,"David Heckerman, E. Mamdani",2013,cs,arxiv,,0.88720053,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",0.46275374,0.4015253,0.9999999403953552,0.7028401494026184,0.42535489797592163,0.42291224002838135,0.42291224002838135,The case for psychometric artificial general intelligence,Tests of Machine Intelligence,The Governance of Physical Artificial Intelligence,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",0.35294117647058826
"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","This is the Proceedings of the Thirteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Providence, RI, August 1-3, 1997",http://arxiv.org/pdf/1304.3846v1,"Dan Geiger, Prakash Shenoy",2013,cs,arxiv,,0.8872004,"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",0.48768488,0.5215483,0.7366337776184082,0.6085633039474487,0.5216246843338013,0.45349472761154175,0.39160656929016113,How to Design AI for Social Good: Seven Essential Factors.,The Governance of Physical Artificial Intelligence,AI for social good and the corporate capture of global development.,"Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation",Tests of Machine Intelligence,0.35294117647058826
"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","This is the Proceedings of the Second Conference on Uncertainty in Artificial
Intelligence, which was held in Philadelphia, PA, August 8-10, 1986",http://arxiv.org/pdf/1304.3859v1,"Laveen Kanal, John Lemmer",2013,cs,arxiv,,0.83546245,"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",0.48153552,0.49194416,0.6085633039474487,0.5050216913223267,0.47178834676742554,0.4641592502593994,0.4518616199493408,"Putting AI Ethics into Practice: The Hourglass Model of Organizational
  AI Governance","Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation",Tests of Machine Intelligence,How to Design AI for Social Good: Seven Essential Factors.,"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",0.35294117647058826
Impact of Artificial Intelligence on Economic Theory,"Artificial intelligence has impacted many aspects of human life. This paper
studies the impact of artificial intelligence on economic theory. In particular
we study the impact of artificial intelligence on the theory of bounded
rationality, efficient market hypothesis and prospect theory.",http://arxiv.org/pdf/1509.01213v1,Tshilidzi Marwala,2015,q-fin,arxiv,,0.58706874,,0.58706874,1.0,1.0,0.921705961227417,0.835462212562561,0.45612335205078125,0.41133683919906616,"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",Tests of Machine Intelligence,The case for psychometric artificial general intelligence,0.47058823529411764
"Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation","Who should be charged with responsibility for an artificial intelligence
performing market manipulation have been discussed. In this study, I
constructed an artificial intelligence using a genetic algorithm that learns in
an artificial market simulation, and investigated whether the artificial
intelligence discovers market manipulation through learning with an artificial
market simulation despite a builder of artificial intelligence has no intention
of market manipulation. As a result, the artificial intelligence discovered
market manipulation as an optimal investment strategy. This result suggests
necessity of regulation, such as obligating builders of artificial intelligence
to prevent artificial intelligence from performing market manipulation.",http://arxiv.org/pdf/2005.10488v1,Takanobu Mizuta,2020,q-fin,arxiv,,0.5657947,,0.5657947,0.897583,0.921705961227417,0.8872004747390747,0.4697742462158203,0.42291224002838135,0.350675106048584,"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)","Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",Tests of Machine Intelligence,The case for psychometric artificial general intelligence,How to Design AI for Social Good: Seven Essential Factors.,0.7647058823529411
The case for psychometric artificial general intelligence,"A short review of the literature on measurement and detection of artificial
general intelligence is made. Proposed benchmarks and tests for artificial
general intelligence are critically evaluated against multiple criteria. Based
on the findings, the most promising approaches are identified and some useful
directions for future work are proposed.",http://arxiv.org/pdf/2101.02179v1,Mark McPherson,2020,cs,arxiv,,0.4639767,,0.4639767,0.4074129,0.8872004747390747,0.835462212562561,0.4469495117664337,0.39703017473220825,0.34843188524246216,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)",Tests of Machine Intelligence,The case for psychometric artificial general intelligence,How to Design AI for Social Good: Seven Essential Factors.,0.7647058823529411
How to Design AI for Social Good: Seven Essential Factors.,"The idea of artificial intelligence for social good (henceforth AI4SG) is gaining traction within information societies in general and the AI community in particular. It has the potential to tackle social problems through the development of AI-based solutions. Yet, to date, there is only limited understanding of what makes AI socially good in theory, what counts as AI4SG in practice, and how to reproduce its initial successes in terms of policies. This article addresses this gap by identifying seven ethical factors that are essential for future AI4SG initiatives. The analysis is supported by 27 case examples of AI4SG projects. Some of these factors are almost entirely novel to AI, while the significance of other factors is heightened by the use of AI. From each of these factors, corresponding best practices are formulated which, subject to context and balance, may serve as preliminary guidelines to ensure that well-designed AI is more likely to serve the social good.",,Floridi Luciano; Cowls Josh; King Thomas C; Taddeo Mariarosaria,2020,Biosciences,pubmed,32246245,0.71425116,AI for social good and the corporate capture of global development.,0.39594376,0.07989005,0.7142512202262878,0.3913246989250183,0.3831588625907898,0.350675106048584,0.34843188524246216,AI for social good and the corporate capture of global development.,Tests of Machine Intelligence,The case for psychometric artificial general intelligence,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)","Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",0.7647058823529411
